行番号,ID,事件番号,事件名,裁判年月日,法廷名,裁判種別,結果,判例集等巻・号・頁,原審裁判所名,原審事件番号,原審裁判年月日,判示事項,裁判要旨,参照法条
28617,82801,平成22(あ)762,国家公務員法違反被告事件,平成24年12月7日,最高裁判所第二小法廷,判決,棄却,刑集　第66巻12号1337頁,東京高等裁判所,平成18(う)2351,平成22年3月29日,"１　国家公務員法１０２条１項にいう「政治的行為」の意義
２　人事院規則１４−７第６項７号，１３号に掲げる政治的行為の意義
３　国家公務員法（平成１９年法律第１０８号による改正前のもの）１１０条１項１９号，国家公務員法１０２条１項，人事院規則１４−７第６項７号，１３号による政党の機関紙の配布及び政治的目的を有する文書の配布の禁止と憲法２１条１項，３１条
４　国家公務員法１０２条１項，人事院規則１４−７第６項７号，１３号により禁止された政党の機関紙の配布及び政治的目的を有する文書の配布に当たらないとされた事例","１　国家公務員法１０２条１項の「政治的行為」とは，公務員の職務の遂行の政治的中立性を損なうおそれが，観念的なものにとどまらず，現実的に起こり得るものとして実質的に認められる政治的行為をいう。
２　人事院規則１４−７第６項７号，１３号に掲げる政治的行為は，それぞれが定める行為類型に文言上該当する行為であって，公務員の職務の遂行の政治的中立性を損なうおそれが実質的に認められるものをいう。
３　国家公務員法（平成１９年法律第１０８号による改正前のもの）１１０条１項１９号，国家公務員法１０２条１項，人事院規則１４−７第６項７号，１３号による政党の機関紙の配布及び政治的目的を有する文書の配布の禁止は，憲法２１条１項，３１条に違反しない。
４　管理職的地位になく，その職務の内容や権限に裁量の余地のない一般職国家公務員が，職務と全く無関係に，公務員により組織される団体の活動としての性格を有さず，公務員による行為と認識し得る態様によることなく行った本件の政党の機関紙及び政治的目的を有する文書の配布は，公務員の職務の遂行の政治的中立性を損なうおそれが実質的に認められるものとはいえず，国家公務員法１０２条１項，人事院規則１４−７第６項７号，１３号により禁止された行為に当たらない。
（１〜４につき補足意見，１，２，４につき意見がある。）",（１，３，４につき）　国家公務員法102条1項　（２〜４につき）　人事院規則14−7第5項3号，人事院規則14−7第6項7号，人事院規則14−7第6項13号　（３，４につき）　国家公務員法（平成19年法律第108号による改正前のもの）110条1項19号　（３につき）　憲法21条1項，憲法31条
28618,82802,平成22(あ)957,国家公務員法違反被告事件,平成24年12月7日,最高裁判所第二小法廷,判決,棄却,刑集　第66巻12号1722頁,東京高等裁判所,平成20(う)2470,平成22年5月13日,"１　国家公務員法（平成１９年法律第１０８号による改正前のもの）１１０条１項１９号，国家公務員法１０２条１項，人事院規則１４−７第６項７号による政党の機関紙の配布の禁止と憲法２１条１項，１５条，１９条，３１条，４１条，７３条６号
２　国家公務員法１０２条１項，人事院規則１４−７第６項７号により禁止された政党の機関紙の配布に当たるとされた事例","１　国家公務員法（平成１９年法律第１０８号による改正前のもの）１１０条１項１９号，国家公務員法１０２条１項，人事院規則１４−７第６項７号による政党の機関紙の配布の禁止は，憲法２１条１項，１５条，１９条，３１条，４１条，７３条６号に違反しない。
２　管理職的地位にあり，その職務の内容や権限に裁量権のある一般職国家公務員が行った本件の政党の機関紙の配布は，それが，勤務時間外に，国ないし職場の施設を利用せず，公務員としての地位を利用することなく，公務員により組織される団体の活動としての性格を有さず，公務員による行為と認識し得る態様によることなく行われたものであるとしても，当該公務員及びその属する行政組織の職務の遂行の政治的中立性が損なわれるおそれが実質的に認められ，国家公務員法１０２条１項，人事院規則１４−７第６項７号により禁止された行為に当たる。
（１，２につき補足意見，２につき反対意見がある。）",（１，２につき）　国家公務員法102条1項，国家公務員法（平成19年法律第108号による改正前のもの）110条1項19号，人事院規則14−7第6項7号　（１につき）　憲法21条1項，憲法15条，憲法19条，憲法31条，憲法41条，憲法73条6号
28619,82820,平成23(受)1833,貸金請求事件,平成24年12月14日,最高裁判所第二小法廷,判決,棄却,民集　第66巻12号3559頁,東京高等裁判所,平成22(ネ)8278,平成23年5月31日,根保証契約の主たる債務の範囲に含まれる債務に係る債権の譲渡が元本確定期日前にされた場合に譲受人が保証債務の履行を求めることの可否,"根保証契約の主たる債務の範囲に含まれる債務に係る債権を譲り受けた者は，その譲渡が当該根保証契約に定める元本確定期日前にされた場合であっても，当該根保証契約の当事者間において上記債権の譲受人の請求を妨げるような別段の合意がない限り，保証人に対し，保証債務の履行を求めることができる。
（補足意見がある。）",民法446条1項，民法465条の2第1項，民法466条1項
28620,82846,平成23(受)1626,所有権移転登記手続，持分移転登記抹消登記手続等，持分権確認等請求事件,平成24年12月21日,最高裁判所第二小法廷,判決,その他,集民　第242号117頁,名古屋高等裁判所,平成22(ネ)530,平成23年5月12日,将来の給付の訴えを提起することのできる請求としての適格を有しないものとされた事例,"共有者の１人が共有物を第三者に賃貸して得る収益につき，その持分割合を超える部分の不当利得返還を求める他の共有者の請求のうち，事実審の口頭弁論終結の日の翌日以降の分は，その性質上，将来の給付の訴えを提起することのできる請求としての適格を有しない。
（補足意見がある。）",民訴法135条
28621,82847,平成23(受)392,再生債権査定異議事件,平成24年12月21日,最高裁判所第二小法廷,判決,破棄差戻,集民　第242号91頁,東京高等裁判所,平成22(ネ)2239,平成22年11月24日,株式会社が，臨時報告書及び有価証券報告書の虚偽記載等の事実の公表をするとともに，同日，再生手続開始の申立てをした場合において，金融商品取引法２１条の２第２項の規定により損害の額を算定するに当たり，同条４項又は５項の規定による減額を否定した原審の判断に違法があるとされた事例,"多額の債務を負い資金繰りが悪化していた株式会社が，転換社債型新株予約権付社債の発行によって得る払込金の使途につき，実際にはこれをスワップに係る契約における支払金に充てる予定であり，上記社債の発行による資金調達は不確実であったのに，上記払込金を債務の返済に充てる旨の虚偽記載等がされた臨時報告書及び有価証券報告書を提出し，その約１箇月半後に上記虚偽記載等の事実の公表をするとともに，同日，再生手続開始の申立てをし，上記会社の株式が大幅に値下がりした場合において，次の(1)〜(3)など判示の事情の下では，上記虚偽記載等の事実の公表前に上記会社の株式を取引所市場で取得した投資者の被った損害の額につき，金融商品取引法２１条の２第２項の規定によりこれを算定するに当たり，上記投資者の損害は全て上記虚偽記載等により生じたものであるとして，同条４項又は５項の規定による減額を否定した原審の判断には，違法がある。
(1)　上記会社が再生手続開始の申立てに至ったのは，金融機関の融資姿勢の厳格化等に伴う資金繰りの悪化によるものであって，上記虚偽記載等や，その事実の公表に起因して，上記の資金繰りの悪化がもたらされたわけではない。
(2)　上記会社は，再生手続開始の申立ての約２箇月前から，米国の大手投資銀行等との間で業務・資本提携の交渉を開始しており，近々上記会社の株式の公開買付けが実施されることも見込まれていたのであって，上記虚偽記載等がされた当時，上記会社が既に倒産状態又は近々倒産することが確実な状態であったとはいえない。
(3)　上記会社の株式は，上記臨時報告書及び有価証券報告書の提出前から上記虚偽記載等の事実の公表の日に至るまで，ほぼ一貫して値下がりを続けており，上記値下がりには，上記会社の経営状態など上記虚偽記載等とは無関係な要因により生じた分が含まれている。
（補足意見がある。）",金融商品取引法21条の2
28622,82895,平成24(行ヒ)279,医薬品ネット販売の権利確認等請求事件,平成25年1月11日,最高裁判所第二小法廷,判決,棄却,民集　第67巻1号1頁,東京高等裁判所,平成22(行コ)168,平成24年4月26日,薬事法施行規則１５条の４第１項１号（同規則１４２条において準用する場合），１５９条の１４第１項及び２項本文，１５９条の１５第１項１号並びに１５９条の１７第１号及び２号の各規定の法適合性,薬事法施行規則１５条の４第１項１号（同規則１４２条において準用する場合），１５９条の１４第１項及び２項本文，１５９条の１５第１項１号並びに１５９条の１７第１号及び２号の各規定は，一般用医薬品のうち第一類医薬品及び第二類医薬品につき，店舗販売業者による店舗以外の場所にいる者に対する郵便その他の方法による販売又は授与を一律に禁止することとなる限度において，薬事法の委任の範囲を逸脱した違法なものとして無効である。,薬事法36条の5，薬事法36条の6，行政手続法38条1項，薬事法施行規則15条の4第1項1号，薬事法施行規則142条，薬事法施行規則159条の14第1項，薬事法施行規則159条の14第2項本文，薬事法施行規則159条の15第1項1号，薬事法施行規則159条の16第1号，薬事法施行規則159条の17第1号，薬事法施行規則159条の17第2号
28623,82909,平成23(受)2229,賃料減額請求本訴，地代等支払請求反訴事件,平成25年1月22日,最高裁判所第三小法廷,判決,破棄自判,集民　第243号1頁,"福岡高等裁判所
        　宮崎支部",平成22(ネ)122,平成23年8月31日,ゴルフ場経営を目的とする地上権設定契約及び土地賃貸借契約につき借地借家法１１条の類推適用をする余地はないとされた事例,地上権設定契約及び土地賃貸借契約において，ゴルフ場経営を目的とすることが定められているにすぎず，当該土地が建物の所有と関連するような態様で使用されていることもうかがわれないという事実関係の下においては，借地借家法１１条の類推適用をする余地はない。,借地借家法11条
28624,82916,平成22(行ヒ)42,政務調査費返還命令処分取消請求事件,平成25年1月25日,最高裁判所第二小法廷,判決,その他,集民　第243号11頁,東京高等裁判所,平成21(行コ)2,平成21年9月29日,"１　区議会議員が区民として提起した住民訴訟の控訴の提起に係る訴訟費用の政務調査費からの支出が，目黒区政務調査費の交付に関する規程（平成１３年目黒区議会告示第１号。平成１８年目黒区議会告示第１号による改正前のもの）５条及び別表の定める使途基準に適合しないとされた事例
２　区議会議員が区民として提起した住民訴訟の証拠及び参考にするとして区長から開示を受けた区の機関の議事に係る録音テープの反訳及び複製の費用並びに当該住民訴訟の尋問期日における関係者の証言及び供述の反訳費用の政務調査費からの支出が，目黒区政務調査費の交付に関する規程（平成１３年目黒区議会告示第１号。平成１８年目黒区議会告示第１号による改正前のもの）５条及び別表の定める使途基準に適合しないとはいえないとされた事例","１　区議会議員が区民として提起した住民訴訟の控訴の提起に係る控訴提起手数料の印紙代及び予納すべき送達費用の切手代の政務調査費からの支出は，目黒区政務調査費の交付に関する規程（平成１３年目黒区議会告示第１号。平成１８年目黒区議会告示第１号による改正前のもの）５条及び別表の定める使途基準の調査研究費又は他の項目に該当せず，同使途基準に適合しない。
２　区議会議員が区民として提起した住民訴訟の証拠及び参考にするとして区長から開示を受けた区の機関の議事に係る録音テープの反訳及び複製の費用並びに当該住民訴訟の尋問期日における関係者の証言及び供述の反訳費用の政務調査費からの支出は，次の(1)，(2)など判示の事情の下では，目黒区政務調査費の交付に関する規程（平成１３年目黒区議会告示第１号。平成１８年目黒区議会告示第１号による改正前のもの）５条及び別表の定める使途基準の資料作成費又は広報費に該当するとみることができ，同使途基準に適合しないとはいえない。
(1)　当該区議会議員は，当該住民訴訟において上記機関の決定を経た区による公有地の売却が違法であるなどと主張するとともに，区議会の審議においてその売却の問題点を究明して議論の対象とするためにその売却に関する質問をするなどの議会活動を行っている。
(2)　上記各反訳等により文書化された資料は，当該住民訴訟とは別途に，当該区議会議員が現に行っている上記の議会活動に関して，同議員の参加する質疑等の議会審議に必要な資料として用いることができるものであり，また，その内容が同議員自身のホームページ等や広報紙に掲載され，上記の議会活動の広報に供する資料として用いられているとみることができるものである。",（１，２につき）地方自治法（平成20年法律第69号による改正前のもの）100条13項，目黒区政務調査費の交付に関する条例（平成13年目黒区条例第5号。平成18年目黒区条例第62号による改正前のもの）10条，目黒区政務調査費の交付に関する規程（平成13年目黒区議会告示第1号。平成18年目黒区議会告示第1号による改正前のもの）5条，目黒区政務調査費の交付に関する規程（平成13年目黒区議会告示第1号。平成18年目黒区議会告示第1号による改正前のもの）別表
28625,82945,平成22(あ)402,殺人，殺人未遂被告事件,平成24年12月3日,最高裁判所第一小法廷,決定,棄却,集刑　第309号1頁,名古屋高等裁判所,,平成22年1月26日,家族に対する殺人５件，殺人未遂１件の事案につき，無期懲役の量刑が維持された事例（反対意見がある。）（岐阜中津川家族殺害事件）,,刑法9条，刑法199条，刑法203条，刑訴法411条2号
28626,82948,平成23(あ)1081,強盗殺人，詐欺，有印私文書偽造，同行使，免状不実記載，道路交通法違反，死体遺棄被告事件,平成24年12月6日,最高裁判所第一小法廷,判決,棄却,集刑　第309号67頁,東京高等裁判所,,平成23年5月19日,裁判員制度と憲法１８条後段，１９条，３２条，３７条１項，７６条１項，３項,,憲法18条，憲法19条，憲法32条，憲法37条，憲法76条，裁判員の参加する刑事裁判に関する法律
