行番号,ID,事件番号,事件名,裁判年月日,法廷名,裁判種別,結果,判例集等巻・号・頁,原審裁判所名,原審事件番号,原審裁判年月日,判示事項,裁判要旨,参照法条
0,24925,平成14(行ヒ)96,公務外認定処分取消請求事件,平成18年3月3日,最高裁判所第二小法廷,判決,破棄差戻,集民　第219号657頁,"福岡高等裁判所
        　宮崎支部",平成12(行コ)8,平成14年1月25日,心臓疾患を有する地方公務員が公務として行われたバレーボールの試合に出場した際に急性心筋こうそくを発症して死亡した場合につき同人の死亡とバレーボールの試合に出場したこととの間の相当因果関係を否定した原審の判断に違法があるとされた事例,心臓疾患を有する地方公務員が，公務として行われたバレーボールの試合に出場した際に急性心筋こうそくを発症して死亡した場合につき，(1)同人は，力仕事に従事することは極力避けるようにしていたものの，その余の職務には通常どおり従事しており，その勤務状況は良好であったこと，(2)死亡の約３年前に行われた検査の結果，同人に狭心症状等は認められず，日常生活，事務労働，車の運転等の中程度の労働まで許容することができるとされたこと，(3)死亡前の約６年間に同人が狭心症状等を起こした旨の記録は存在しないことなど判示の事実関係の下においては，同人の心臓疾患が確たる発症因子がなくてもその自然の経過により心筋こうそくを発症させる寸前にまでは増悪していなかったかどうかについて十分に審理することなく，同人の死亡とバレーボールの試合に出場したこととの間の相当因果関係を否定した原審の判断には，違法がある。,地方公務員災害補償法31条，地方公務員災害補償法45条1項
1,24926,平成12(行ツ)62,国民健康保険料賦課処分取消等請求事件,平成18年3月1日,最高裁判所大法廷,判決,棄却,民集　第60巻2号587頁,札幌高等裁判所,平成10(行コ)8,平成11年12月21日,"１　市町村が行う国民健康保険の保険料と憲法８４条
２　国民健康保険の保険料率の算定基準を定めた上でその決定及び告示を市長に委任している旭川市国民健康保険条例（昭和３４年旭川市条例第５号）８条（平成６年旭川市条例第２９号による改正前のもの及び平成１０年旭川市条例第４１号による改正前のもの），１２条３項と国民健康保険法８１条及び憲法８４条
３　旭川市長が平成６年度から同８年度までの各年度の国民健康保険の保険料率を各年度の賦課期日後に告示したことと憲法８４条
４　恒常的に生活が困窮している状態にある者を国民健康保険の保険料の減免の対象としていない旭川市国民健康保険条例（昭和３４年旭川市条例第５号）１９条１項と国民健康保険法７７条及び憲法２５条，１４条","１　市町村が行う国民健康保険の保険料については，これに憲法８４条の規定が直接に適用されることはないが，同条の趣旨が及ぶと解すべきであるところ，国民健康保険法８１条の委任に基づき条例において賦課要件がどの程度明確に定められるべきかは，賦課徴収の強制の度合いのほか，社会保険としての国民健康保険の目的，特質等をも総合考慮して判断する必要がある。
２　旭川市国民健康保険条例（昭和３４年旭川市条例第５号）が，８条（平成６年旭川市条例第２９号による改正前のもの及び平成１０年旭川市条例第４１号による改正前のもの）において，国民健康保険の保険料率の算定の基礎となる賦課総額の算定基準を定めた上で，１２条３項において，旭川市長に対し，保険料率を同基準に基づいて決定して告示の方式により公示することを委任したことは，国民健康保険法８１条に違反せず，憲法８４条の趣旨に反しない。
３　旭川市長が旭川市国民健康保険条例（昭和３４年旭川市条例第５号）１２条３項の規定に基づき平成６年度から同８年度までの各年度の国民健康保険の保険料率を各年度の賦課期日後に告示したことは，憲法８４条の趣旨に反しない。
４　旭川市国民健康保険条例（昭和３４年旭川市条例第５号）１９条１項が，当該年において生じた事情の変更に伴い一時的に保険料負担能力の全部又は一部を喪失した者に対して国民健康保険の保険料を減免するにとどめ，恒常的に生活が困窮している状態にある者を保険料の減免の対象としていないことは，国民健康保険法７７条の委任の範囲を超えるものではなく，憲法２５条，１４条に違反しない。
（１〜３につき補足意見がある。）",（１〜３につき）憲法84条，国民健康保険法（平成9年法律第124号による改正前のもの）76条　（１につき）国民健康保険法5条，国民健康保険法（平成14年法律第102号による改正前のもの）79条の2　（１，２につき）国民健康保険法81条　（２につき）旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成6年旭川市条例第29号による改正前のもの）8条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成10年旭川市条例第41号による改正前のもの）8条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成9年旭川市条例第8号による改正前のもの）9条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成12年旭川市条例第23号による改正前のもの）10条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成9年旭川市条例第8号による改正前のもの）11条，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成7年旭川市条例第14号による改正前のもの）12条1項，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成8年旭川市条例第8号による改正前のもの）12条1項，旭川市国民健康保険条例（昭和34年旭川市条例第5号。平成9年旭川市条例第8号による改正前のもの）12条1項　（２，３につき）旭川市国民健康保険条例（昭和34年旭川市条例第5号）12条3項　（３につき）旭川市国民健康保険条例（昭和34年旭川市条例第5号）13条　（４につき）憲法14条，憲法25条，国民健康保険法6条6号，国民健康保険法77条，旭川市国民健康保険条例（昭和34年旭川市条例第5号）19条1項
2,32770,平成17(あ)2035,危険運転致傷，道路交通法違反，傷害被告事件,平成18年3月14日,最高裁判所第二小法廷,決定,棄却,刑集　第60巻3号363頁,札幌高等裁判所,平成17(う)139,平成17年9月8日,交差点手前で信号待ちをしていた先行車両の後方から赤色信号を殊更に無視し対向車線に進出し時速約２０kmで普通乗用自動車を運転して同交差点に進入しようとしたため自車を右方道路から左折進行してきた自動車に衝突させ同車運転者らを負傷させた行為が刑法２０８条の２第２項後段の危険運転致傷罪に当たるとされた事例,交差点手前で信号待ちをしていた先行車両の後方から，赤色信号を殊更に無視し，対向車線に進出し時速約２０kmで普通乗用自動車を運転して同交差点に進入しようとしたため，自車を右方道路から青色信号に従い左折して対向進行してきた普通貨物自動車に同交差点入口手前において衝突させ，同車運転者らを負傷させた行為は，刑法２０８条の２第２項後段の危険運転致傷罪に当たる。,刑法208条の2第2項後段
3,32786,平成13(行ヒ)289,個人情報非訂正決定処分取消請求事件,平成18年3月10日,最高裁判所第二小法廷,判決,破棄自判,集民　第219号677頁,大阪高等裁判所,平成13(行コ)10,平成13年7月13日,国民健康保険診療報酬明細書に記録された個人の診療に関する情報についてされた京都市個人情報保護条例（平成５年京都市条例第１号。平成１６年京都市条例第２４号による改正前のもの）に基づく個人情報の訂正をしない旨の決定が違法とはいえないとされた事例,"国民健康保険診療報酬明細書（レセプト）に記録された個人の診療に関する情報について，実際に受けた診療の内容と異なることを理由として京都市個人情報保護条例（平成５年京都市条例第１号。平成１６年京都市条例第２４号による改正前のもの）に基づく個人情報の訂正の請求がされた場合において，(1)上記レセプトは，保険医療機関が国民健康保険法に基づく療養の給付に関する費用を京都市に請求するために自ら行ったとする診療の内容を記載して作成し，京都府国民健康保険団体連合会に提出したものであること，(2)同連合会による審査の後に上記レセプトを取得した京都市は，保険医療機関に対する診療報酬の支払の明細に係る歳入歳出の証拠書類としてこれを保管しており，上記訂正の請求がされた当時，実際の診療内容を直接明らかにするためにこれを管理していたものとは認められないこと，(3)同条例は，実施機関に対して訂正の請求に関する調査権限を付与する特段の規定を置いておらず，実施機関の対外的な調査権限にはおのずから限界があることなど判示の事情の下においては，実施機関がした訂正をしない旨の決定が違法であるということはできない。
（補足意見がある。）",京都市個人情報保護条例（平成5年京都市条例第1号。平成16年京都市条例第24号による改正前のもの）21条1項，京都市個人情報保護条例（平成5年京都市条例第1号。平成16年京都市条例第24号による改正前のもの）23条1項，療養の給付，老人医療及び公費負担医療に関する費用の請求に関する省令（平成10年厚生省令第99号による改正前のもの）1条1項
4,32789,平成17(受)76,損害賠償請求事件,平成18年3月13日,最高裁判所第二小法廷,判決,破棄差戻,集民　第219号703頁,高松高等裁判所,平成15(ネ)341,平成16年10月29日,高等学校の生徒が課外のクラブ活動としてのサッカーの試合中に落雷により負傷した事故について引率者兼監督の教諭に落雷事故発生の危険が迫っていることを予見すべき注意義務の違反があるとされた事例,高等学校の生徒が，課外のクラブ活動としてのサッカーの試合中に落雷により負傷した場合において，その当時の文献には，運動場に居て雷鳴が聞こえるときには，遠くても直ちに屋内に避難すべきであるとの趣旨の記載が多く存在していること，上記試合の開始直前ころには，黒く固まった暗雲が立ち込め，雷鳴が聞こえ，雲の間で放電が起きるのが目撃されていたことなど判示の事実関係の下では，引率者兼監督の教諭は，落雷事故発生の危険が迫っていることを具体的に予見することが可能であったというべきであり，また，予見すべき注意義務を怠ったものというべきである。,民法415条，民法709条，民法715条
5,32794,平成17(受)1751,損害賠償等請求事件,平成18年3月28日,最高裁判所第三小法廷,判決,棄却,民集　第60巻3号875頁,"名古屋高等裁判所
        　金沢支部",平成15(ネ)127,平成17年5月30日,自家用自動車総合保険契約の記名被保険者の子が胎児であった時に発生した交通事故により出生後に傷害を生じその結果後遺障害が残存した場合における同契約の無保険車傷害条項に基づく保険金請求の可否,自家用自動車総合保険契約の記名被保険者の子が，胎児であった時に発生した交通事故により出生後に傷害を生じ，その結果，後遺障害が残存した場合には，当該子又はその父母は，当該傷害及び後遺障害によってそれぞれが被った損害について，同契約の無保険車傷害条項が被保険者として定める「記名被保険者の同居の親族」に生じた傷害及び後遺障害による損害に準ずるものとして，同条項に基づく保険金の請求をすることができる。,商法第3編第10章　保険，民法91条，民法721条
6,32811,平成15(受)1099,解雇無効確認等請求事件,平成18年3月28日,最高裁判所第三小法廷,判決,破棄自判,集民　第219号1033頁,福岡高等裁判所,平成14(ネ)372,平成15年3月26日,使用者の責めに帰すべき事由による解雇の期間中の賃金につき使用者が支払義務を負う金額を算定する場合において期末手当等の全額を対象として労働者が他の職に就いて得た利益の額を控除すべきであるとされた事例,使用者の責めに帰すべき事由による解雇の期間中の賃金につき使用者が支払義務を負う金額を算定する場合において，労働者が同期間中に他の職に就いて得た利益の額が当該利益を得た期間における平均賃金合計額の４割を超え，かつ，使用者が労働者に対し労働基準法１２条４項所定の賃金に当たる期末手当及び勤勉手当を支払うこととされているという事実関係の下では，上記利益を得た期間に時期的に対応する期間に係る期末手当及び勤勉手当の全額を対象として，上記の平均賃金合計額の４割を超える利益の額を控除すべきである。,民法536条2項，労働基準法12条1項，4項，労働基準法24条1項，労働基準法26条
7,32812,平成15(行ツ)202,滞納処分取消請求事件,平成18年3月28日,最高裁判所第三小法廷,判決,棄却,集民　第219号981頁,"仙台高等裁判所
        　秋田支部",平成14(行コ)4,平成15年5月28日,農作物共済に係る共済掛金等の具体的決定を農業共済組合の定款等にゆだねている農業災害補償法（平成１１年法律第１６０号による改正前のもの）１０７条１項，農業災害補償法（平成１５年法律第９１号による改正前のもの）４３条１項２号，８６条１項，８７条１項，農業災害補償法４５条の２，８７条３項と憲法８４条,農作物共済に係る共済掛金及び賦課金の具体的決定を農業共済組合の定款又は総会若しくは総代会の議決にゆだねている農業災害補償法（平成１１年法律第１６０号による改正前のもの）１０７条１項，農業災害補償法（平成１５年法律第９１号による改正前のもの）４３条１項２号，８６条１項，８７条１項，農業災害補償法４５条の２，８７条３項の規定は，憲法８４条の趣旨に反しない。,憲法84条，農業災害補償法（平成11年法律第160号による改正前のもの）107条1項，農業災害補償法（平成15年法律第91号による改正前のもの）43条1項，農業災害補償法（平成15年法律第91号による改正前のもの）86条1項，農業災害補償法（平成15年法律第91号による改正前のもの）87条1項，農業災害補償法45条の2，農業災害補償法87条3項
8,32813,平成16(オ)1365,損害賠償請求事件,平成18年3月28日,最高裁判所第三小法廷,判決,棄却,集民　第219号989頁,札幌高等裁判所,平成15(ネ)468,平成16年5月27日,"１　旭川市介護保険条例（平成１２年旭川市条例第２７号。平成１５年旭川市条例第２０号による改正前のもの）が介護保険の第１号被保険者のうち一定の低所得者について一律に保険料を賦課しないものとする旨の規定又は保険料を全額免除する旨の規定を設けていないことと憲法１４条，２５条
２　介護保険法１３５条の規定による介護保険の第１号被保険者の保険料についての特別徴収の制度と憲法１４条，２５条","１　旭川市介護保険条例（平成１２年旭川市条例第２７号。平成１５年旭川市条例第２０号による改正前のもの）が，介護保険の第１号被保険者のうち，生活保護法６条２項に規定する要保護者で地方税法（平成１６年法律第１７号による改正前のもの）２９５条により市町村民税が非課税とされる者について，一律に保険料を賦課しないものとする旨の規定又は保険料を全額免除する旨の規定を設けていないことは，憲法１４条，２５条に違反しない。
２　介護保険法１３５条の規定による介護保険の第１号被保険者の保険料についての特別徴収の制度は，憲法１４条，２５条に違反しない。",（１，２につき）憲法14条，憲法25条，介護保険法129条　（１につき）介護保険法142条，生活保護法6条2項，地方税法（平成16年法律第17号による改正前のもの）295条1項，旭川市介護保険条例（平成12年旭川市条例第27号）12条1項，旭川市介護保険条例（平成12年旭川市条例第27号）13条1項　（２につき）介護保険法131条，介護保険法134条1項，介護保険法135条，介護保険法施行令41条
9,32814,平成17(あ)2091,暴行，逮捕監禁致死被告事件,平成18年3月27日,最高裁判所第一小法廷,決定,棄却,刑集　第60巻3号382頁,大阪高等裁判所,平成17(う)207,平成17年9月13日,道路上で停車中の普通乗用自動車後部のトランク内に被害者を監禁した行為と同車に後方から走行してきた自動車が追突して生じた被害者の死亡との間に因果関係があるとされた事例,道路上で停車中の普通乗用自動車後部のトランク内に被害者を監禁した行為と，同車に後方から走行してきた自動車が追突して生じた被害者の死亡との間には，同人の死亡原因が直接的には追突事故を起こした第三者の甚だしい過失行為にあるとしても，因果関係がある。,刑法第1編第7章　犯罪の不成立及び刑の減免，刑法221条
10,32815,平成17(受)1628,損害賠償請求事件,平成18年3月30日,最高裁判所第一小法廷,判決,棄却,民集　第60巻3号1242頁,仙台高等裁判所,平成17(ネ)79,平成17年6月10日,自動車損害賠償保障法１６条１項に基づいて損害賠償額の支払を請求する訴訟において裁判所が同法１６条の３第１項が規定する支払基準によることなく損害賠償額を算定して支払を命じることの可否,自動車損害賠償保障法１６条１項に基づいて被害者が保険会社に対して損害賠償額の支払を請求する訴訟において，裁判所は，同法１６条の３第１項が規定する支払基準によることなく損害賠償額を算定して支払を命じることができる。,自動車損害賠償保障法16条1項，自動車損害賠償保障法16条の3
11,32819,平成17(受)364,建築物撤去等請求事件,平成18年3月30日,最高裁判所第一小法廷,判決,棄却,民集　第60巻3号948頁,東京高等裁判所,平成15(ネ)478,平成16年10月27日,"１　良好な景観の恵沢を享受する利益は法律上保護されるか
２　良好な景観の恵沢を享受する利益に対する違法な侵害に当たるといえるために必要な条件
３　直線状に延びた公道の街路樹と周囲の建物とが高さにおいて連続性を有し調和がとれた良好な景観を呈している地域において地上１４階建ての建物を建築することが良好な景観の恵沢を享受する利益を違法に侵害する行為に当たるとはいえないとされた事例","１　良好な景観に近接する地域内に居住する者が有するその景観の恵沢を享受する利益は，法律上保護に値するものと解するのが相当である。
２　ある行為が良好な景観の恵沢を享受する利益に対する違法な侵害に当たるといえるためには，少なくとも，その侵害行為が，刑罰法規や行政法規の規制に違反するものであったり，公序良俗違反や権利の濫用に該当するものであるなど，侵害行為の態様や程度の面において社会的に容認された行為としての相当性を欠くことが求められる。
３　南北約１．２kmにわたり直線状に延びた「大学通り」と称される幅員の広い公道に沿って，約７５０ｍの範囲で街路樹と周囲の建物とが高さにおいて連続性を有し，調和がとれた良好な景観を呈している地域の南端にあって，建築基準法（平成１４年法律第８５号による改正前のもの）６８条の２に基づく条例により建築物の高さが２０ｍ以下に制限されている地区内に地上１４階建て（最高地点の高さ４３．６５ｍ）の建物を建築する場合において，(1)上記建物は，同条例施行時には既に根切り工事をしている段階にあって，同法３条２項に規定する「現に建築の工事中の建築物」に当たり，上記条例による高さ制限の規制が及ばないこと，(2)その外観に周囲の景観の調和を乱すような点があるとは認め難いこと，(3)その他，その建築が，当時の刑罰法規や行政法規の規制に違反したり，公序良俗違反や権利の濫用に該当するなどの事情はうかがわれないことなど判示の事情の下では，上記建物の建築は，行為の態様その他の面において社会的に容認された行為としての相当性を欠くものではなく，上記の良好な景観に近接する地域内に居住する者が有するその景観の恵沢を享受する利益を違法に侵害する行為に当たるとはいえない。",（１〜３につき）民法709条，憲法13条，景観法2条1項，東京都景観条例（平成9年東京都条例第89号）1条，国立市都市景観形成条例（平成10年国立市条例第1号）1条，都市計画法（平成12年法律第73号による改正前のもの）12条の4，都市計画法（平成12年法律第73号による改正前のもの）12条の5第3項，建築基準法（平成14年法律第85号による改正前のもの）68条の2，国立市地区計画の区域内における建築物の制限に関する条例（平成11年国立市条例第30号。平成12年国立市条例第26号による改正前のもの）7条（３につき）建築基準法（平成14年法律第85号による改正前のもの）3条2項
12,32832,平成17(受)1208,通行権確認等請求及び承継参加事件,平成18年3月16日,最高裁判所第一小法廷,判決,その他,民集　第60巻3号735頁,東京高等裁判所,平成15(ネ)6340,平成17年3月16日,自動車による通行を前提とする民法２１０条１項所定の通行権の成否及びその具体的内容を判断するために考慮すべき事情,自動車による通行を前提とする民法２１０条１項所定の通行権の成否及びその具体的内容は，公道に至るため他の土地について自動車による通行を認める必要性，周辺の土地の状況，上記通行権が認められることにより他の土地の所有者が被る不利益等の諸事情を総合考慮して判断すべきである。,民法210条1項，民法211条1項
13,32834,平成16(受)1968,地位確認等請求事件,平成18年3月17日,最高裁判所第二小法廷,判決,その他,民集　第60巻3号773頁,"福岡高等裁判所
        　那覇支部",平成16(ネ)16,平成16年9月7日,"１　入会部落の慣習に基づく入会集団の会則のうち入会権者の資格要件を一家の代表者としての世帯主に限定する部分が公序良俗に反しないとされた事例
２　入会部落の慣習に基づく入会集団の会則のうち入会権者の資格を原則として男子孫に限定し同入会部落の部落民以外の男性と婚姻した女子孫は離婚して旧姓に復しない限り入会権者の資格を認めないとする部分が民法９０条の規定により無効とされた事例","１　Ａ入会部落の慣習に基づく入会集団の会則のうち入会権者の資格要件を一家の代表者としての世帯主に限定する部分は，現在においても，公序良俗に反するものということはできない。
２　Ａ入会部落の慣習に基づく入会集団の会則のうち，入会権者の資格を原則として男子孫に限定し，同入会部落の部落民以外の男性と婚姻した女子孫は離婚して旧姓に復しない限り入会権者の資格を認めないとする部分は，遅くとも平成４年以降においては，性別のみによる不合理な差別として民法９０条の規定により無効である。
（２につき補足意見がある。）",（１，２につき）民法2条，民法90条，民法92条，民法263条，民法294条，憲法14条1項
14,32853,平成17(テ)21,貸金等請求事件,平成18年3月17日,最高裁判所第二小法廷,判決,破棄自判,集民　第219号927頁,大阪高等裁判所,平成17(ツ)5,平成17年3月25日,債務者の貸金業者に対する貸金の弁済について貸金業の規制等に関する法律４３条１項又は３項の適用を認めた高等裁判所の上告審としての判決が特別上告審において法令の違反があるとして職権により破棄された事例,（省略）,民訴法325条2項，民訴法327条，貸金業の規制等に関する法律43条1項，3項
15,32854,平成15(受)1886,工作物撤去等請求事件,平成18年3月23日,最高裁判所第一小法廷,判決,破棄差戻,集民　第219号967頁,東京高等裁判所,平成14(ネ)5001,平成15年8月20日,被告の所有する土地が建築基準法４２条２項所定の道路（いわゆるみなし道路）に当たるとして人格権的権利に基づき同土地上の工作物の撤去を求める訴訟において被告が同土地がみなし道路であることを否定することは信義則上許されないとされた事例,被告の所有する土地が建築基準法４２条２項所定の道路（いわゆるみなし道路）に当たるとして同土地周辺の建物所有者である原告らが提起した人格権的権利に基づき同土地上の工作物の撤去を求める訴訟において，被告が同土地がみなし道路であることを否定することは，被告が，建物を建築するに際し，同土地がみなし道路であることを前提に建築確認を得，同土地に幅員４ｍの道路を開設し，その後５年以上同土地がみなし道路であることを前提に建物を所有してきた上，同土地は公衆用道路として非課税とされているという事実関係の下では，信義則上許されない。,民法1条2項，民法2条，民法198条，民訴法2条，建築基準法42条2項，憲法13条
16,32855,平成15(オ)422,損害賠償請求事件,平成18年3月23日,最高裁判所第一小法廷,判決,破棄自判,集民　第219号947頁,福岡高等裁判所,平成14(ネ)613,平成14年10月31日,"１　監獄法４６条２項と憲法２１条，１４条１項
２　刑務所長が受刑者の新聞社あての信書の発信を不許可としたことが国家賠償法１条１項の適用上違法となるとされた事例","１　監獄法４６条２項は，具体的事情の下で，受刑者のその親族でない者との間の信書の発受を許すことにより監獄内の規律及び秩序の維持，受刑者の身柄の確保，受刑者の改善，更生の点において放置することのできない程度の障害が生ずる相当のがい然性があると認められるときに限り，この障害の発生防止のために必要かつ合理的な範囲においてのみ上記信書の発受の制限が許されることを定めたものとして，憲法２１条，１４条１項に違反しない。
２　刑務所長が受刑者の新聞社あての信書の発信を不許可としたことは，刑務所長が，具体的事情の下で，上記信書の発信を許すことにより刑務所内の規律及び秩序の維持，受刑者の身柄の確保，受刑者の改善，更生の点において放置することのできない程度の障害が生ずる相当のがい然性があるかどうかについて考慮していないこと，上記信書が，国会議員に対して送付済みの請願書等の取材等を求める旨の内容を記載したものであり，その発信を許すことによって刑務所内に上記の障害が生ずる相当のがい然性があるということができないことなど判示の事情の下においては，裁量権の範囲を逸脱し，又は裁量権を濫用したものとして，国家賠償法１条１項の適用上違法となる。",（１，２につき）　監獄法46条2項　（１につき）　憲法14条1項，憲法21条　（２につき）　国家賠償法1条1項
17,32871,平成15(受)1154,損害賠償請求事件,平成18年4月10日,最高裁判所第二小法廷,判決,破棄差戻,民集　第60巻4号1273頁,東京高等裁判所,平成13(ネ)2835,平成15年3月27日,"１　いわゆる仕手筋として知られるＡが大量に取得したＢ社の株式を暴力団の関連会社に売却するなどとＢ社の取締役であるＹらを脅迫した場合においてＡの要求に応じて巨額の金員を交付することを提案し又はこれに同意したＹらの忠実義務，善管注意義務違反が問われた行為について過失を否定することができないとされた事例
２　会社から見て好ましくないと判断される株主が議決権等の株主の権利を行使することを回避する目的で当該株主から株式を譲り受けるための対価を何人かに供与する行為と商法（平成１２年法律第９０号による改正前のもの）２９４条ノ２第１項にいう「株主ノ権利ノ行使ニ関シ」利益を供与する行為","１　いわゆる仕手筋として知られるＡが，大量に取得したＢ社の株式を暴力団の関連会社に売却するなどとＢ社の取締役であるＹらを脅迫した場合において，売却を取りやめてもらうためＡの要求に応じて約３００億円という巨額の金員を融資金の名目で交付することを提案し又はこれに同意したＹらの忠実義務，善管注意義務違反が問われた行為について，Ａの言動に対して警察に届け出るなどの適切な対応をすることが期待できないような状況にあったということはできないという事情の下では，やむを得なかったものとしてその過失を否定することはできない。
２　会社から見て好ましくないと判断される株主が議決権等の株主の権利を行使することを回避する目的で，当該株主から株式を譲り受けるための対価を何人かに供与する行為は，商法（平成１２年法律第９０号による改正前のもの）２９４条ノ２第１項にいう「株主ノ権利ノ行使ニ関シ」利益を供与する行為に当たる。",（１につき）商法254条3項，商法254条ノ3，商法266条1項5号，民法644条　　（２につき）商法（平成12年法律第90号による改正前のもの）294条ノ2，商法（平成15年法律第134号による改正前のもの）266条1項2号
18,32877,平成14(受)1358,保険金引渡請求事件,平成18年4月11日,最高裁判所第三小法廷,判決,その他,民集　第60巻4号1387頁,名古屋高等裁判所,平成13(ネ)245,平成14年4月24日,団体定期保険（いわゆるＡグループ保険）に基づいて被保険者である従業員の死亡により保険金を受領した会社が生命保険会社との間の合意をもって社内規定に基づく給付額を超えて上記保険金の一部を死亡従業員の遺族に支払うことを約したと認めるべきであるとした原審の判断に違法があるとされた事例,"Ｙ社が，複数の生命保険会社との間で，保険金受取人をＹ，被保険者をＹの従業員全員とし，死亡保険金の合計額が従業員１人につき６０００万円を超える団体定期保険（いわゆるＡグループ保険）契約を締結し，従業員の死亡により保険金を受領する一方，当該従業員の遺族Ｘに対しては，社内規定に基づく給付額である１０００万円程度の死亡時給付金を支払ったにとどまる場合において，1 他人の生命の保険については被保険者の同意を求めることでその適正な運用を図るべく保険金額に見合う被保険利益の裏付けを要求する規制を採用していない立法の下では，直ちに上記契約が公序良俗に違反するとはいえないこと，2 Ｙは，団体定期保険の主たる目的が受領保険金を従業員に対する福利厚生制度に基づく給付に充てることにあることは認識していたものの，死亡従業員の遺族に支払うべき死亡時給付金が社内規定に基づく給付額の範囲内にとどまることは当然と考え，そのような取扱いに終始していたのであり，社内規定に基づく給付額を超えて受領した保険金の全部又は一部を遺族に支払うことを黙示的にも合意したと認める余地はないことなど判示の事情の下では，上記のような団体定期保険の運用が公序良俗に違反することを前提として，これを免れるためには，Ｙは，生命保険会社との間の第三者のためにする契約をもって，社内規定に基づく給付額を超えて死亡時給付金として社会的に相当な金額（３０００万円）に満つるまでの額をＸに支払うことを約したと認めるべきであるとした原審の判断には，違法がある。
(補足意見がある。）",商法674条1項，民法90条，民法537条，民訴法247条
19,32887,平成16(受)519,損害賠償等請求本訴，請負代金等請求反訴事件,平成18年4月14日,最高裁判所第二小法廷,判決,破棄自判,民集　第60巻4号1497頁,大阪高等裁判所,平成14(ネ)2682,平成15年12月24日,反訴請求債権を自働債権とし本訴請求債権を受働債権とする相殺の抗弁の許否,本訴及び反訴が係属中に，反訴原告が，反訴請求債権を自働債権とし，本訴請求債権を受働債権として相殺の抗弁を主張することは，異なる意思表示をしない限り，反訴を，反訴請求債権につき本訴において相殺の自働債権として既判力ある判断が示された場合にはその部分を反訴請求としない趣旨の予備的反訴に変更するものとして，許される。,民法505条，民訴法114条2項，民訴法142条，民訴法143条，民訴法146条
20,32901,平成17(許)33,転付命令に対する執行抗告棄却決定に対する許可抗告事件,平成18年4月14日,最高裁判所第二小法廷,決定,破棄自判,民集　第60巻4号1535頁,東京高等裁判所,平成17(ラ)116,平成17年7月21日,委任事務終了前における委任者の受任者に対する前払費用についての返還請求権の被転付適格,委任者が委任事務の処理のために受任者に交付した前払費用についての返還請求権は，当該委任事務の終了前においては，券面額を有するものとはいえず，被転付適格を有しない。,民事執行法159条，民法649条
21,32906,平成16(受)1147,損害賠償請求事件,平成18年4月18日,最高裁判所第三小法廷,判決,破棄差戻,集民　第220号111頁,福岡高等裁判所,平成11(ネ)971,平成16年2月17日,冠状動脈バイパス手術を受けた患者が術後に腸管え死となって死亡した場合において担当医師に腸管え死が発生している可能性が高いと診断し直ちに開腹手術を実施すべき注意義務を怠った過失があるとされた事例,冠状動脈バイパス手術を受けた患者が術後に腸管え死となって死亡した場合において，(1)当該患者は，腹痛を訴え続け，鎮痛剤を投与されてもその腹痛が強くなるとともに，高度のアシドーシスを示し，腸管のぜん動こう進薬を投与されても腸管閉そくの症状が改善されない状況にあったこと，(2)当時の医学的知見では，患者が上記のような状況にあるときには，腸管え死の発生が高い確率で考えられ，腸管え死であるときには，直ちに開腹手術を実施し，え死部分を切除しなければ，救命の余地はないとされていたこと，(3)当該患者は，開腹手術の実施によってかえって生命の危険が高まるために同手術の実施を避けることが相当といえるような状況にはなかったこと，(4)当該患者の症状は次第に悪化し，経過観察によって改善を見込める状態にはなかったことなど判示の事情の下では，担当医師には，当該患者に腸管え死が発生している可能性が高いと診断し，直ちに開腹手術を実施し，腸管にえ死部分があればこれを切除すべき注意義務を怠った過失がある。,民法415条，民法709条
22,32909,平成15(受)723,賃金支払請求事件,平成18年4月18日,最高裁判所第三小法廷,判決,破棄自判,民集　第60巻4号1548頁,大阪高等裁判所,平成7(ネ)656,平成14年12月27日,時限ストライキ等の争議行為のため受注を返上せざるを得なくなったことなどにより損害を被った生コンクリート製造販売業者のしたロックアウトが使用者の正当な争議行為と認められた事例,生コンクリート製造販売業者が時限ストライキ等の争議行為に対しロックアウトをした場合において，上記時限ストライキの態様から，上記業者は，取引慣行上，その日の受注の全部を返上するなどして，終日事実上休業の状態にせざるを得ず，時限ストライキが解除された後に従業員が提供した労務は，就労しなかった時間に係る減額がされた後の賃金にも到底見合わないものであったこと，上記業者は，上記争議行為が開始された後，受注が減少して資金繰りが著しく悪化し，納入先の信用も損なわれ，甚大な損害を被ったこと，上記争議行為における従業員らの要求は，同人ら全員が以前所属していた組合と上記業者との間に成立していた合意を，同人らが上記組合を脱退した直後に覆そうとするものであることなど判示の事情の下では，上記ロックアウトは，衡平の見地からみて，上記争議行為に対する対抗防衛手段として相当であり，使用者の正当な争議行為と認められる。,労働組合法8条，労働関係調整法7条
